id,user_id,r2_key,public_url,title,metadata,created_at,tags,expires_at,is_nsfw,view_count,album_id
71cb1d00-5fbb-4773-8a4d-f448ddac4ed5,73a7a83c-090e-4553-8200-8c8d06e6a935,U0wPPLNomB.webp,https://s.showimg.link/U0wPPLNomB.webp,CHIBI_SBTI_CTRL_PAI.png,"{""size"": 71250, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/U0wPPLNomB.webp"", ""mediumUrl"": ""https://s.showimg.link/m/U0wPPLNomB.webp"", ""originalName"": ""CHIBI_SBTI_CTRL_PAI.webp""}",2026-04-23 06:15:05.717784+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
2ba7c3b8-ee28-4b3d-8560-31b40f3a1736,73a7a83c-090e-4553-8200-8c8d06e6a935,jzWiMzZ-1i.webp,https://s.showimg.link/jzWiMzZ-1i.webp,CHIBI_SBTI_GOGO_BOHT.png,"{""size"": 85656, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/jzWiMzZ-1i.webp"", ""mediumUrl"": ""https://s.showimg.link/m/jzWiMzZ-1i.webp"", ""originalName"": ""CHIBI_SBTI_GOGO_BOHT.webp""}",2026-04-23 06:15:02.920309+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
6cc49e38-00cf-4835-813a-aa25aea39bb6,73a7a83c-090e-4553-8200-8c8d06e6a935,1fi2C-7r5T.webp,https://s.showimg.link/1fi2C-7r5T.webp,CHIBI_SBTI_SHIT_PHUM.png,"{""size"": 53704, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/1fi2C-7r5T.webp"", ""mediumUrl"": ""https://s.showimg.link/m/1fi2C-7r5T.webp"", ""originalName"": ""CHIBI_SBTI_SHIT_PHUM.webp""}",2026-04-23 06:15:00.511+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
349b2668-93d3-4aa6-b4fb-a9568bc683b0,73a7a83c-090e-4553-8200-8c8d06e6a935,xxocZ0qymC.webp,https://s.showimg.link/xxocZ0qymC.webp,CHIBI_SBTI_BOSS_HAYDEN.png,"{""size"": 64546, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/xxocZ0qymC.webp"", ""mediumUrl"": ""https://s.showimg.link/m/xxocZ0qymC.webp"", ""originalName"": ""CHIBI_SBTI_BOSS_HAYDEN.webp""}",2026-04-23 06:14:58.39976+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
483726dc-a2fa-446f-996e-9f5c3e994b59,73a7a83c-090e-4553-8200-8c8d06e6a935,pGdBJkMc2O.webp,https://s.showimg.link/pGdBJkMc2O.webp,CHIBI_SBTI_FAKE_LEVI.png,"{""size"": 45014, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/pGdBJkMc2O.webp"", ""mediumUrl"": ""https://s.showimg.link/m/pGdBJkMc2O.webp"", ""originalName"": ""CHIBI_SBTI_FAKE_LEVI.webp""}",2026-04-23 06:14:55.885835+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
ce8feece-5a16-4925-b578-79d754de99e1,73a7a83c-090e-4553-8200-8c8d06e6a935,sOwaahr0gY.webp,https://s.showimg.link/sOwaahr0gY.webp,CHIBI_SBTI_FAKE_JIN.png,"{""size"": 49392, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/sOwaahr0gY.webp"", ""mediumUrl"": ""https://s.showimg.link/m/sOwaahr0gY.webp"", ""originalName"": ""CHIBI_SBTI_FAKE_JIN.webp""}",2026-04-23 06:14:52.910997+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
57ae23c9-0d24-4826-ad38-fc9f00abb26f,73a7a83c-090e-4553-8200-8c8d06e6a935,I-KjDDiTBS.webp,https://s.showimg.link/I-KjDDiTBS.webp,CHIBI_SBTI_CTRL_RENJI.png,"{""size"": 75666, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/I-KjDDiTBS.webp"", ""mediumUrl"": ""https://s.showimg.link/m/I-KjDDiTBS.webp"", ""originalName"": ""CHIBI_SBTI_CTRL_RENJI.webp""}",2026-04-23 06:14:49.878119+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
744949d5-aa2f-4e4f-8936-6ccd3f9bd1cf,73a7a83c-090e-4553-8200-8c8d06e6a935,wTSMdTmLuS.webp,https://s.showimg.link/wTSMdTmLuS.webp,CHIBI_SBTI_SEXY_HARU.png,"{""size"": 69692, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/wTSMdTmLuS.webp"", ""mediumUrl"": ""https://s.showimg.link/m/wTSMdTmLuS.webp"", ""originalName"": ""CHIBI_SBTI_SEXY_HARU.webp""}",2026-04-23 06:14:47.339394+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
cc3e16de-ee5d-4de5-98cd-4ce7e029b150,73a7a83c-090e-4553-8200-8c8d06e6a935,XQJwNL5gYB.webp,https://s.showimg.link/XQJwNL5gYB.webp,CHIBI_SBTI_IMFW_TOFU.png,"{""size"": 58030, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/XQJwNL5gYB.webp"", ""mediumUrl"": ""https://s.showimg.link/m/XQJwNL5gYB.webp"", ""originalName"": ""CHIBI_SBTI_IMFW_TOFU.webp""}",2026-04-23 06:14:45.016161+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
3b6b1541-675e-4b12-86f8-2cdd1ff669af,73a7a83c-090e-4553-8200-8c8d06e6a935,z5Ta2mYK6I.webp,https://s.showimg.link/z5Ta2mYK6I.webp,CHIBI_SBTI_FU_K_KIAN.png,"{""size"": 82196, ""type"": ""image/webp"", ""isVideo"": false, ""thumbUrl"": ""https://s.showimg.link/t/z5Ta2mYK6I.webp"", ""mediumUrl"": ""https://s.showimg.link/m/z5Ta2mYK6I.webp"", ""originalName"": ""CHIBI_SBTI_FU_K_KIAN.webp""}",2026-04-23 06:13:51.113501+00,[],,false,0,3db6e922-cbb4-463e-85db-625a1ab5ef36
